file,line,ruleId,severity,message
scripts\generateDatasets.js,26,security/detect-non-literal-fs-filename,1,"Found writeFileSync from package \"fs\" with non literal argument at index 0"
src\analyzers\centerExpansion.js,8,security/detect-object-injection,1,"Generic Object Injection Sink"
src\analyzers\centerExpansion.js,8,security/detect-object-injection,1,"Generic Object Injection Sink"
src\analyzers\manacherEven.js,18,security/detect-object-injection,1,"Function Call Object Injection Sink"
src\analyzers\manacherEven.js,32,security/detect-object-injection,1,"Generic Object Injection Sink"
src\analyzers\manacherOdd.js,22,security/detect-object-injection,1,"Function Call Object Injection Sink"
src\analyzers\manacherOdd.js,36,security/detect-object-injection,1,"Generic Object Injection Sink"
src\io\jsonReader.js,37,no-unused-vars,1,"'error' is defined but never used."
src\io\jsonReader.js,44,security/detect-non-literal-fs-filename,1,"Found createReadStream from package \"fs\" with non literal argument at index 0"
src\io\resultWriter.js,20,security/detect-non-literal-fs-filename,1,"Found writeFileSync from package \"fs\" with non literal argument at index 0"
src\services\palindromeService.js,30,security/detect-object-injection,1,"Generic Object Injection Sink"
src\services\palindromeService.js,32,security/detect-object-injection,1,"Generic Object Injection Sink"
src\services\palindromeService.js,33,security/detect-object-injection,1,"Generic Object Injection Sink"
src\services\palindromeService.js,37,security/detect-object-injection,1,"Generic Object Injection Sink"
src\services\palindromeService.js,39,security/detect-object-injection,1,"Generic Object Injection Sink"
src\services\palindromeService.js,40,security/detect-object-injection,1,"Generic Object Injection Sink"
src\vulnerable\datasetNameParser.js,2,security/detect-unsafe-regex,1,"Unsafe Regular Expression"
src\vulnerable\datasetNameParser.js,2,sonarjs/slow-regex,1,"Make sure the regex used here, which is vulnerable to super-linear runtime due to backtracking, cannot lead to denial of service."
